taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	NCBI Phylum	NCBI Class	NCBI Order	NCBI Family	NCBI Genus	NCBI Species	GTDB Domain	GTDB Phylum	GTDB Class	GTDB Order	GTDB Family	GTDB Genus	GTDB Species	GOLD Analysis Project ID	GOLD Sequencing Project ID	GOLD Study ID	Is Public	Pubmed ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Depth In Meters	Latitude	Longitude	pH	Pressure	Salinity	Genome Size  * assembled	Gene Count  * assembled	Scaffold Count  * assembled	CRISPR Arrays  * assembled	CDS Count  * assembled	RNA Count  * assembled	CheckM2 Completeness	CheckM2 Contamination	Included_in_final_dataset
3300001095	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Biofilm	DOE Joint Genome Institute  (JGI)	3300001095	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Unclassified	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0026857	Gp0054472	Gs0056652	Yes	25615435, 20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Unclassified			1.29973	103.771791				217084359	377258	205289	963	372771	4487			Included
2081372009	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community (Mother reactor DNA_dereplicate_75bp)	DOE Joint Genome Institute  (JGI)	2081372009	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Activated sludge	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0011113	Gp0051945	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Activated sludge			1.332	103.756				56395451	165935	132889	113	165825	110			Included
3300003415	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_expt_300_biof	DOE Joint Genome Institute  (JGI)	3300003415	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0041898	Gp0095077	Gs0118793	Yes	28139919, 26031303	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				104989199	171928	100147	38	170327	1601			Included
3300024978	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_solids_1 (SPAdes)	DOE Joint Genome Institute  (JGI)	3300024978	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0209941	Gp0095080	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				279004683	393703	179626	228	389994	3709			Excluded
2081372011	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community (Batch bottle culture with BES DNA_dereplicate_75bp)	DOE Joint Genome Institute  (JGI)	2081372011	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Activated sludge	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0010909	Gp0051947	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Activated sludge			1.332	103.756				53958122	157737	125845	90	157638	99			Excluded
3300001096	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading	Wastewater bioreactor microbial communities from Singapore -Terephthalate degrading community TA Sludge	DOE Joint Genome Institute  (JGI)	3300001096	Metagenome Analysis	Engineered	Bioremediation	Terephthalate	Wastewater	Unclassified	Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading								Ga0026856	Gp0054536	Gs0056652	Yes	20686509	Engineered	Bioremediation	Wastewater	Terephthalate	Unclassified			1.29973	103.771791				287381823	501692	276484	1017	496165	5527			Included
3300024983	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_inoc_biof (SPAdes)	DOE Joint Genome Institute  (JGI)	3300024983	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0207420	Gp0095075	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				225773098	303349	115919	150	300252	3097			Included
3300003485	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_cont_300_biof	DOE Joint Genome Institute  (JGI)	3300003485	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0041900	Gp0095079	Gs0118793	Yes	28139919, 26031303	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				231297208	366114	200468	56	363066	3048			Included
3300003402	*Microbiome	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Wastewater bioreactor microbial communities from Cape Town, South Africa - Thiocy_solids_1	DOE Joint Genome Institute  (JGI)	3300003402	Metagenome Analysis	Engineered	Bioremediation	Thiocyanate	Unclassified	Unclassified	Wastewater bioreactor microbial communities from Cape Town, South Africa								Ga0041901	Gp0095080	Gs0118793	Yes	26031303, 28139919	Engineered	Bioremediation	Unclassified	Thiocyanate	Unclassified			-33.936637	18.478905				226815378	374515	221478	205	370802	3713			Included
2767802748	Bacteria	Permanent Draft	Wastewater bioreactor microbial communities from Cape Town, South Africa	Myxococcales bacterium 68-20	Banfield Lab, University of California, Berkeley	2767802748	Metagenome-Assembled Genome	Myxococcota	Myxococcia	Myxococcales	unclassified	unclassified	Myxococcales bacterium 68-20	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Labilithrix	Labilithrix sp001899635	Ga0248536	Gp0136317	Gs0118793	Yes														11892526	9975	52	7	9895	80	98.4	3.98	Excluded
3300029935	*Microbiome	Permanent Draft	Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong	Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong - Hydrogenotrophic denitrifying consortium	University of Hong Kong	3300029935	Metagenome Analysis	Engineered	Sewage treatment plant	Wastewater	Unclassified	Unclassified	Bioreactor microbial communities from Stanley sewage treatment plant in Hong Kong								Ga0119876	Gp0137218	Gs0118582	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified			22.28	114.14				35147399	63731	38297	52	63119	612			Included
8128796378	Bacteria	Permanent Draft	Tessaracoccus caeni HF-7 genome sequencing	Tessaracoccus caeni HF-7	Chinese Academy of Sciences	8128796378	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus caeni	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia sp029211185	Ga0674523	Gp0828906	Gs0167728	Yes	37990978	Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified			31.8616	117.2857	5.5 - 10.5			4163929	3896	82	5	3825	61	100	2.05	Excluded
8066869136	Bacteria	Finished	Paenarthrobacter ureafaciens YL1	Paenarthrobacter ureafaciens YL1	Harbin Institute of Technology	8066869136	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter ureafaciens	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter ureafaciens	Ga0486751	Gp0547242	Gs0152706	Yes	32303845	Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified								4663430	4590	1	0	4487	75	99.94	0.01	Excluded
2784746678	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Dietzia maris 97	DOE Joint Genome Institute  (JGI)	2784746678	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Mycobacteriales	Dietziaceae	Dietzia	Dietzia maris	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Dietzia	Dietzia maris	Ga0227234	Gp0266004	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				4099441	3937	80		3876	61	100	0.32	Excluded
8128239726	Bacteria	Permanent Draft	The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project	Lysobacter hankyongensis JCM 18204	WFCC-MIRCEN World Data Centre for Microoganisms(WDCM)	8128239726	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	Lysobacter hankyongensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	SCMT01	SCMT01 sp011526085	Ga0675310	Gp0829694	Gs0151912	Yes	30832757	Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified								4516702	3929	34	0	3867	53	100	0.22	Excluded
2775507286	Bacteria	Finished	Andreesenia angusta MK-1	Andreesenia angusta MK-1	Goettingen Genomics Laboratory	2775507286	Genome Analysis (Isolate)	Bacillota	Tissierellia	Tissierellales	Gottschalkiaceae	Andreesenia	Andreesenia angusta	Bacteria	Bacillota_A	Clostridia	Tissierellales	Gottschalkiaceae	Andreesenia	Andreesenia angusta	Ga0248259	Gp0172348	Gs0121691	Yes	28082491	Engineered	Sewage treatment plant	Unclassified	Sludge	Unclassified								2339783	2473	33		2383	90	98.69	0.19	Excluded
8126672667	Bacteria	Permanent Draft	The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project	Nostocoides vanveenii JCM 15591	WFCC-MIRCEN World Data Centre for Microoganisms(WDCM)	8126672667	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Nostocoides	Nostocoides vanveenii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Tetrasphaera_A	Unclassified	Ga0675396	Gp0829780	Gs0151912	Yes	30832757	Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified								4089888	4074	107	5	4003	54	99.89	0.7	Excluded
2770939472	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Idiomarina loihiensis 017G.2	DOE Joint Genome Institute  (JGI)	2770939472	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Idiomarina	Idiomarina loihiensis	Ga0227261	Gp0266006	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				2794880	2740	19		2674	66	100	0.23	Excluded
2770939476	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Pseudidiomarina maritima 125B1	DOE Joint Genome Institute  (JGI)	2770939476	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Pseudidiomarina	Pseudidiomarina maritima	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudidiomarina	Pseudidiomarina maritima_A	Ga0227263	Gp0266008	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				2774828	2637	51		2564	73	99.96	0.1	Excluded
8102374886	Bacteria	Finished	Comamonas sp. C11 genome sequencing	Comamonas sp. C11	Northeast Normal University	8102374886	Genome Analysis (Isolate)	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas sp. C11	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas testosteroni_F	Ga0608541	Gp0745002	Gs0162075	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified								6159340	5855	7	0	5686	138	100	1.87	Excluded
2897428245	Bacteria	Finished	Genome sequencing and assembly of Tessaracoccus defluvii JCM 17540	Tessaracoccus defluvii JCM 17540	Kyunghee University	2897428245	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus defluvii	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia defluvii	Ga0453863	Gp0505491	Gs0149969	Yes		Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified			35.9078	127.7669				3864792	3955	1	7	3885	55	97.85	4.02	Excluded
2899048704	Bacteria	Permanent Draft	NBRC actinomycetes	Gordonia crocea NBRC 107697	The National Board for Respiratory Care	2899048704	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia crocea	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia crocea	Ga0443372	Gp0494982	Gs0148048	Yes	32427091	Engineered	Sewage treatment plant	Unclassified	Sludge	Unclassified			35.679909	139.577237	4 - 11		Halophile	3782613	3677	19	1	3606	54	100	2.65	Excluded
2989575051	Bacteria	Permanent Draft	Nocardioides caeni DSM 23134	Nocardioides caeni DSM 23134	Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences	2989575051	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides caeni	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides caeni	Ga0487740	Gp0549561	Gs0153616	Yes	19628618	Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified								4075875	3996	46	0	3933	51	100	0.02	Excluded
2899057212	Bacteria	Permanent Draft	NBRC actinomycetes	Gordonia spumicola NBRC 107696	The National Board for Respiratory Care	2899057212	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia spumicola	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia spumicola	Ga0443373	Gp0494983	Gs0148048	Yes		Engineered	Sewage treatment plant	Unclassified	Sludge	Unclassified			35.679909	139.577237	4 - 11		Halophile	4886396	4774	10	3	4680	70	99.96	2.41	Excluded
8130049039	Bacteria	Permanent Draft	The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project	Tessaracoccus defluvii JCM 17540	WFCC-MIRCEN World Data Centre for Microoganisms(WDCM)	8130049039	Genome Analysis (Isolate)	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus defluvii	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia defluvii	Ga0675092	Gp0829475	Gs0151912	Yes	30832757	Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified			35.9078	127.7669				3810614	3588	57	6	3521	52	100	1.68	Excluded
2770939322	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Raoultella planticola 103_o	DOE Joint Genome Institute  (JGI)	2770939322	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella planticola	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella planticola	Ga0227274	Gp0266031	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				5975643	5776	49		5593	183	100	1.02	Excluded
2883859013	Bacteria	Finished	Thermomonas aquatica SY21 genome sequencing	Thermomonas aquatica SY21	Korean Research Institute of Bioscience and Biotechnology	2883859013	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	Thermomonas aquatica	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	Thermomonas aquatica	Ga0439888	Gp0491108	Gs0146316	Yes	31380735	Engineered	Sewage treatment plant	Unclassified	Activated sludge	Unclassified			35.086361	128.954889	6 - 9		Halophile	3005997	2885	1		2814	63	100	0.44	Excluded
3001586163	Bacteria	Permanent Draft	Diaphorobacter caeni NR2-3-3-1	Diaphorobacter caeni NR2-3-3-1	Kyonggi University	3001586163	Genome Analysis (Isolate)	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter caeni	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Diaphorobacter_A	Diaphorobacter_A caeni	Ga0488484	Gp0546957	Gs0152553	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified								5987222	5602	34	1	5499	73	100	0.46	Excluded
2773857636	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Rossellomorea aquimaris 97B	DOE Joint Genome Institute  (JGI)	2773857636	Genome Analysis (Isolate)	Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	Rossellomorea aquimaris	Bacteria	Bacillota	Bacilli	Bacillales_B	Bacillaceae_B	Rossellomorea	Rossellomorea aquimaris_C	Ga0227240	Gp0266030	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				4252515	4399	54		4251	148	99.94	0.81	Excluded
3003312084	Bacteria	Permanent Draft	Genome sequencing and assembly of bacterial isolates	Paracoccus sp. IB05	Technical University of Denmark	3003312084	Genome Analysis (Isolate)	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	Paracoccus sp. IB05	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudogemmobacter	Pseudogemmobacter sp016405985	Ga0489626	Gp0549131	Gs0153346	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified			55.802056	12.539111				5294781	5219	108	0	5144	53	100	2.65	Excluded
2773857639	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Idiomarina Ioihiensis E2	DOE Joint Genome Institute  (JGI)	2773857639	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Idiomarina	Idiomarina loihiensis	Ga0227230	Gp0266029	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				2993314	2899	28		2827	72	99.99	0.26	Excluded
2770939444	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Shewanella oncorhynchi 97	DOE Joint Genome Institute  (JGI)	2770939444	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella oncorhynchi	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella oncorhynchi	Ga0227277	Gp0266009	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				4954542	4470	45		4323	147	100	0.18	Excluded
2767802464	Bacteria	Permanent Draft	Freshwater and sediment microbial communities from various areas in North America, analyzing microbe dynamics in response to fracking	Idiomarina loihiensis H2.2	DOE Joint Genome Institute  (JGI)	2767802464	Genome Analysis (Isolate)	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Idiomarina	Idiomarina loihiensis	Ga0227262	Gp0266007	Gs0114818	Yes		Engineered	Sewage treatment plant	Unclassified	Wastewater	Unclassified	654.000000		41.2451	-76.9855				2996587	2899	28		2829	70	99.99	0.26	Excluded
