ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF00115	0.92	0.87	0.87	0.888	structures/output/WWF00115/WWF00115_model.cif
WWF00118	0.74	0.67	0.67	0.711	structures/output/WWF00118/WWF00118_model.cif
WWF00129	0.87	0.85	0.85	0.898	structures/output/WWF00129/WWF00129_model.cif
WWF00131	0.86	0.82	0.82	0.915	structures/output/WWF00131/WWF00131_model.cif
WWF00134	0.89	0.9	0.9	0.897	structures/output/WWF00134/WWF00134_model.cif
WWF00137	0.87	0.84	0.84	0.908	structures/output/WWF00137/WWF00137_model.cif
WWF00140	0.89	0.88	0.88	0.926	structures/output/WWF00140/WWF00140_model.cif
WWF00148	0.81	0.8	0.8	0.876	structures/output/WWF00148/WWF00148_model.cif
WWF00150	0.92	0.94	0.94	0.951	structures/output/WWF00150/WWF00150_model.cif
WWF00172	0.84	0.83	0.83	0.902	structures/output/WWF00172/WWF00172_model.cif
WWF00192	0.81	0.78	0.78	0.847	structures/output/WWF00192/WWF00192_model.cif
WWF00194	0.87	0.86	0.86	0.89	structures/output/WWF00194/WWF00194_model.cif
WWF00255	0.77	0.79	0.79	0.874	structures/output/WWF00255/WWF00255_model.cif
WWF00256	0.81	0.82	0.82	0.878	structures/output/WWF00256/WWF00256_model.cif
WWF00257	0.9	0.88	0.88	0.928	structures/output/WWF00257/WWF00257_model.cif
WWF00261	0.86	0.83	0.83	0.907	structures/output/WWF00261/WWF00261_model.cif
WWF00262	0.84	0.86	0.86	0.884	structures/output/WWF00262/WWF00262_model.cif
WWF00267	0.85	0.86	0.86	0.872	structures/output/WWF00267/WWF00267_model.cif
WWF00268	0.79	0.73	0.73	0.774	structures/output/WWF00268/WWF00268_model.cif
WWF00271	0.88	0.88	0.88	0.92	structures/output/WWF00271/WWF00271_model.cif
WWF00272	0.8	0.71	0.71	0.75	structures/output/WWF00272/WWF00272_model.cif
WWF00273	0.82	0.82	0.82	0.875	structures/output/WWF00273/WWF00273_model.cif
WWF00276	0.92	0.89	0.89	0.958	structures/output/WWF00276/WWF00276_model.cif
WWF00280	0.85	0.89	0.89	0.931	structures/output/WWF00280/WWF00280_model.cif
WWF00289	0.84	0.79	0.79	0.867	structures/output/WWF00289/WWF00289_model.cif
WWF00290	0.85	0.81	0.81	0.873	structures/output/WWF00290/WWF00290_model.cif
WWF00291	0.79	0.77	0.77	0.885	structures/output/WWF00291/WWF00291_model.cif
WWF00293	0.85	0.83	0.83	0.901	structures/output/WWF00293/WWF00293_model.cif
WWF00296	0.81	0.87	0.87	0.888	structures/output/WWF00296/WWF00296_model.cif
WWF00298	0.88	0.88	0.88	0.919	structures/output/WWF00298/WWF00298_model.cif
WWF00299	0.86	0.85	0.85	0.914	structures/output/WWF00299/WWF00299_model.cif
WWF00301	0.87	0.89	0.89	0.921	structures/output/WWF00301/WWF00301_model.cif
WWF00302	0.84	0.82	0.82	0.891	structures/output/WWF00302/WWF00302_model.cif
WWF00303	0.8	0.83	0.83	0.901	structures/output/WWF00303/WWF00303_model.cif
WWF00308	0.91	0.88	0.88	0.912	structures/output/WWF00308/WWF00308_model.cif
WWF00310	0.87	0.82	0.82	0.896	structures/output/WWF00310/WWF00310_model.cif
WWF00319	0.78	0.85	0.85	0.878	structures/output/WWF00319/WWF00319_model.cif
WWF00329	0.9	0.89	0.89	0.922	structures/output/WWF00329/WWF00329_model.cif
WWF00335	0.8	0.76	0.76	0.868	structures/output/WWF00335/WWF00335_model.cif
WWF00338	0.72	0.63	0.63	0.837	structures/output/WWF00338/WWF00338_model.cif
WWF00350	0.86	0.85	0.85	0.872	structures/output/WWF00350/WWF00350_model.cif
WWF00352	0.77	0.77	0.77	0.865	structures/output/WWF00352/WWF00352_model.cif
WWF00353	0.86	0.86	0.86	0.927	structures/output/WWF00353/WWF00353_model.cif
WWF00356	0.83	0.65	0.65	0.737	structures/output/WWF00356/WWF00356_model.cif
WWF00357	0.9	0.67	0.67	0.688	structures/output/WWF00357/WWF00357_model.cif
WWF00370	0.88	0.89	0.89	0.928	structures/output/WWF00370/WWF00370_model.cif
WWF00381	0.8	0.8	0.8	0.865	structures/output/WWF00381/WWF00381_model.cif
WWF00388	0.74	0.74	0.74	0.794	structures/output/WWF00388/WWF00388_model.cif
WWF00390	0.73	0.74	0.74	0.843	structures/output/WWF00390/WWF00390_model.cif
WWF00393	0.88	0.87	0.87	0.901	structures/output/WWF00393/WWF00393_model.cif
WWF00399	0.79	0.78	0.78	0.894	structures/output/WWF00399/WWF00399_model.cif
WWF00401	0.88	0.89	0.89	0.907	structures/output/WWF00401/WWF00401_model.cif
WWF00405	0.85	0.87	0.87	0.921	structures/output/WWF00405/WWF00405_model.cif
WWF00408	0.78	0.8	0.8	0.898	structures/output/WWF00408/WWF00408_model.cif
WWF00410	0.84	0.83	0.83	0.84	structures/output/WWF00410/WWF00410_model.cif
WWF00420	0.83	0.82	0.82	0.892	structures/output/WWF00420/WWF00420_model.cif
WWF00424	0.82	0.69	0.69	0.747	structures/output/WWF00424/WWF00424_model.cif
WWF00429	0.85	0.86	0.86	0.892	structures/output/WWF00429/WWF00429_model.cif
WWF00430	0.76	0.7	0.7	0.74	structures/output/WWF00430/WWF00430_model.cif
WWF00438	0.89	0.9	0.9	0.924	structures/output/WWF00438/WWF00438_model.cif
WWF00451	0.68	0.7	0.7	0.791	structures/output/WWF00451/WWF00451_model.cif
WWF00455	0.76	0.51	0.51	0.825	structures/output/WWF00455/WWF00455_model.cif
WWF00462	0.8	0.67	0.67	0.874	structures/output/WWF00462/WWF00462_model.cif
WWF00465	0.74	0.38	0.38	0.858	structures/output/WWF00465/WWF00465_model.cif
WWF00466	0.85	0.76	0.76	0.837	structures/output/WWF00466/WWF00466_model.cif
WWF00476	0.8	0.79	0.79	0.806	structures/output/WWF00476/WWF00476_model.cif
WWF00479	0.83	0.83	0.83	0.856	structures/output/WWF00479/WWF00479_model.cif
WWF00486	0.8	0.86	0.86	0.908	structures/output/WWF00486/WWF00486_model.cif
WWF00491	0.87	0.89	0.89	0.92	structures/output/WWF00491/WWF00491_model.cif
WWF00495	0.85	0.71	0.71	0.737	structures/output/WWF00495/WWF00495_model.cif
WWF00498	0.88	0.87	0.87	0.919	structures/output/WWF00498/WWF00498_model.cif
WWF00503	0.69	0.46	0.46	0.71	structures/output/WWF00503/WWF00503_model.cif
WWF00506	0.79	0.78	0.78	0.874	structures/output/WWF00506/WWF00506_model.cif
WWF00508	0.84	0.84	0.84	0.915	structures/output/WWF00508/WWF00508_model.cif
WWF00518	0.86	0.81	0.81	0.888	structures/output/WWF00518/WWF00518_model.cif
WWF00521	0.9	0.9	0.9	0.954	structures/output/WWF00521/WWF00521_model.cif
WWF00522	0.88	0.88	0.88	0.934	structures/output/WWF00522/WWF00522_model.cif
WWF00523	0.67	0.69	0.69	0.768	structures/output/WWF00523/WWF00523_model.cif
WWF00524	0.83	0.81	0.81	0.806	structures/output/WWF00524/WWF00524_model.cif
WWF00530	0.91	0.91	0.91	0.934	structures/output/WWF00530/WWF00530_model.cif
WWF00534	0.8	0.83	0.83	0.873	structures/output/WWF00534/WWF00534_model.cif
WWF00538	0.86	0.87	0.87	0.909	structures/output/WWF00538/WWF00538_model.cif
WWF00541	0.85	0.85	0.85	0.91	structures/output/WWF00541/WWF00541_model.cif
WWF00547	0.84	0.82	0.82	0.9	structures/output/WWF00547/WWF00547_model.cif
WWF00557	0.76	0.54	0.54	0.602	structures/output/WWF00557/WWF00557_model.cif
WWF00561	0.85	0.81	0.81	0.89	structures/output/WWF00561/WWF00561_model.cif
WWF00564	0.77	0.64	0.64	0.716	structures/output/WWF00564/WWF00564_model.cif
WWF00567	0.75	0.65	0.65	0.745	structures/output/WWF00567/WWF00567_model.cif
WWF00574	0.85	0.84	0.84	0.905	structures/output/WWF00574/WWF00574_model.cif
WWF00576	0.89	0.86	0.86	0.9	structures/output/WWF00576/WWF00576_model.cif
WWF00594	0.84	0.79	0.79	0.85	structures/output/WWF00594/WWF00594_model.cif
WWF00595	0.69	0.67	0.67	0.769	structures/output/WWF00595/WWF00595_model.cif
WWF00596	0.87	0.8	0.8	0.854	structures/output/WWF00596/WWF00596_model.cif
WWF00598	0.83	0.79	0.79	0.864	structures/output/WWF00598/WWF00598_model.cif
WWF00600	0.83	0.84	0.84	0.909	structures/output/WWF00600/WWF00600_model.cif
WWF00606	0.87	0.88	0.88	0.926	structures/output/WWF00606/WWF00606_model.cif
WWF00613	0.84	0.81	0.81	0.871	structures/output/WWF00613/WWF00613_model.cif
WWF00623	0.82	0.75	0.75	0.797	structures/output/WWF00623/WWF00623_model.cif
WWF00625	0.79	0.63	0.63	0.685	structures/output/WWF00625/WWF00625_model.cif
WWF00628	0.83	0.81	0.81	0.889	structures/output/WWF00628/WWF00628_model.cif
WWF00631	0.78	0.74	0.74	0.846	structures/output/WWF00631/WWF00631_model.cif
WWF00632	0.86	0.88	0.88	0.925	structures/output/WWF00632/WWF00632_model.cif
WWF00638	0.76	0.57	0.57	0.656	structures/output/WWF00638/WWF00638_model.cif
WWF00645	0.92	0.91	0.91	0.929	structures/output/WWF00645/WWF00645_model.cif
WWF00652	0.84	0.84	0.84	0.889	structures/output/WWF00652/WWF00652_model.cif
WWF00672	0.86	0.9	0.9	0.917	structures/output/WWF00672/WWF00672_model.cif
WWF00682	0.87	0.85	0.85	0.884	structures/output/WWF00682/WWF00682_model.cif
WWF00683	0.95	0.94	0.94	0.941	structures/output/WWF00683/WWF00683_model.cif
WWF00684	0.78	0.75	0.75	0.847	structures/output/WWF00684/WWF00684_model.cif
WWF00685	0.84	0.87	0.87	0.919	structures/output/WWF00685/WWF00685_model.cif
WWF00688	0.86	0.75	0.75	0.773	structures/output/WWF00688/WWF00688_model.cif
WWF00693	0.83	0.82	0.82	0.874	structures/output/WWF00693/WWF00693_model.cif
WWF00713	0.82	0.8	0.8	0.831	structures/output/WWF00713/WWF00713_model.cif
WWF00741	0.87	0.88	0.88	0.92	structures/output/WWF00741/WWF00741_model.cif
WWF00746	0.84	0.84	0.84	0.885	structures/output/WWF00746/WWF00746_model.cif
WWF00747	0.79	0.77	0.77	0.805	structures/output/WWF00747/WWF00747_model.cif
WWF00766	0.91	0.92	0.92	0.917	structures/output/WWF00766/WWF00766_model.cif
WWF00768	0.79	0.71	0.71	0.783	structures/output/WWF00768/WWF00768_model.cif
WWF00776	0.88	0.92	0.92	0.931	structures/output/WWF00776/WWF00776_model.cif
WWF00777	0.92	0.89	0.89	0.892	structures/output/WWF00777/WWF00777_model.cif
WWF00783	0.88	0.82	0.82	0.862	structures/output/WWF00783/WWF00783_model.cif
WWF00789	0.77	0.79	0.79	0.848	structures/output/WWF00789/WWF00789_model.cif
WWF00791	0.82	0.84	0.84	0.885	structures/output/WWF00791/WWF00791_model.cif
WWF00797	0.83	0.81	0.81	0.805	structures/output/WWF00797/WWF00797_model.cif
WWF00798	0.84	0.88	0.88	0.927	structures/output/WWF00798/WWF00798_model.cif
WWF00802	0.85	0.86	0.86	0.893	structures/output/WWF00802/WWF00802_model.cif
WWF00808	0.92	0.93	0.93	0.942	structures/output/WWF00808/WWF00808_model.cif
WWF00822	0.84	0.84	0.84	0.916	structures/output/WWF00822/WWF00822_model.cif
WWF00828	0.79	0.78	0.78	0.868	structures/output/WWF00828/WWF00828_model.cif
WWF00832	0.74	0.5	0.5	0.623	structures/output/WWF00832/WWF00832_model.cif
WWF00837	0.85	0.88	0.88	0.914	structures/output/WWF00837/WWF00837_model.cif
WWF00838	0.84	0.78	0.78	0.864	structures/output/WWF00838/WWF00838_model.cif
WWF00840	0.77	0.8	0.8	0.85	structures/output/WWF00840/WWF00840_model.cif
WWF00848	0.79	0.8	0.8	0.861	structures/output/WWF00848/WWF00848_model.cif
WWF00853	0.84	0.85	0.85	0.915	structures/output/WWF00853/WWF00853_model.cif
WWF00860	0.86	0.86	0.86	0.91	structures/output/WWF00860/WWF00860_model.cif
WWF00863	0.8	0.81	0.81	0.872	structures/output/WWF00863/WWF00863_model.cif
WWF00868	0.72	0.64	0.64	0.696	structures/output/WWF00868/WWF00868_model.cif
WWF00869	0.83	0.85	0.85	0.897	structures/output/WWF00869/WWF00869_model.cif
WWF00872	0.83	0.72	0.72	0.817	structures/output/WWF00872/WWF00872_model.cif
WWF00888	0.74	0.75	0.75	0.817	structures/output/WWF00888/WWF00888_model.cif
WWF00894	0.94	0.91	0.91	0.912	structures/output/WWF00894/WWF00894_model.cif
WWF00895	0.95	0.92	0.92	0.924	structures/output/WWF00895/WWF00895_model.cif
WWF00897	0.92	0.89	0.89	0.936	structures/output/WWF00897/WWF00897_model.cif
WWF00898	0.88	0.84	0.84	0.905	structures/output/WWF00898/WWF00898_model.cif
WWF00902	0.88	0.9	0.9	0.925	structures/output/WWF00902/WWF00902_model.cif
WWF00910	0.81	0.78	0.78	0.834	structures/output/WWF00910/WWF00910_model.cif
WWF00912	0.87	0.85	0.85	0.901	structures/output/WWF00912/WWF00912_model.cif
WWF00913	0.8	0.75	0.75	0.813	structures/output/WWF00913/WWF00913_model.cif
WWF00919	0.8	0.75	0.75	0.794	structures/output/WWF00919/WWF00919_model.cif
WWF00931	0.83	0.81	0.81	0.902	structures/output/WWF00931/WWF00931_model.cif
WWF00932	0.85	0.77	0.77	0.85	structures/output/WWF00932/WWF00932_model.cif
WWF00941	0.92	0.93	0.93	0.957	structures/output/WWF00941/WWF00941_model.cif
WWF00942	0.85	0.84	0.84	0.919	structures/output/WWF00942/WWF00942_model.cif
WWF00944	0.72	0.64	0.64	0.837	structures/output/WWF00944/WWF00944_model.cif
WWF00945	0.84	0.82	0.82	0.892	structures/output/WWF00945/WWF00945_model.cif
WWF00948	0.89	0.86	0.86	0.919	structures/output/WWF00948/WWF00948_model.cif
WWF00964	0.81	0.72	0.72	0.792	structures/output/WWF00964/WWF00964_model.cif
WWF00969	0.84	0.86	0.86	0.908	structures/output/WWF00969/WWF00969_model.cif
WWF00973	0.8	0.8	0.8	0.882	structures/output/WWF00973/WWF00973_model.cif
WWF00977	0.8	0.8	0.8	0.88	structures/output/WWF00977/WWF00977_model.cif
WWF00981	0.9	0.91	0.91	0.935	structures/output/WWF00981/WWF00981_model.cif
WWF00986	0.78	0.49	0.49	0.537	structures/output/WWF00986/WWF00986_model.cif
WWF00988	0.77	0.77	0.77	0.833	structures/output/WWF00988/WWF00988_model.cif
WWF00991	0.83	0.81	0.81	0.891	structures/output/WWF00991/WWF00991_model.cif
WWF00997	0.8	0.81	0.81	0.88	structures/output/WWF00997/WWF00997_model.cif
WWF00998	0.73	0.74	0.74	0.854	structures/output/WWF00998/WWF00998_model.cif
WWF01001	0.77	0.8	0.8	0.856	structures/output/WWF01001/WWF01001_model.cif
WWF01010	0.9	0.88	0.88	0.934	structures/output/WWF01010/WWF01010_model.cif
WWF01012	0.85	0.86	0.86	0.878	structures/output/WWF01012/WWF01012_model.cif
WWF01013	0.8	0.62	0.62	0.668	structures/output/WWF01013/WWF01013_model.cif
WWF01014	0.89	0.91	0.91	0.921	structures/output/WWF01014/WWF01014_model.cif
WWF01015	0.91	0.93	0.93	0.944	structures/output/WWF01015/WWF01015_model.cif
WWF01016	0.89	0.89	0.89	0.93	structures/output/WWF01016/WWF01016_model.cif
WWF01017	0.79	0.78	0.78	0.838	structures/output/WWF01017/WWF01017_model.cif
WWF01018	0.81	0.83	0.83	0.883	structures/output/WWF01018/WWF01018_model.cif
WWF01020	0.92	0.91	0.91	0.935	structures/output/WWF01020/WWF01020_model.cif
WWF01021	0.85	0.82	0.82	0.905	structures/output/WWF01021/WWF01021_model.cif
WWF01024	0.88	0.91	0.91	0.914	structures/output/WWF01024/WWF01024_model.cif
WWF01040	0.84	0.83	0.83	0.896	structures/output/WWF01040/WWF01040_model.cif
WWF01041	0.89	0.88	0.88	0.934	structures/output/WWF01041/WWF01041_model.cif
WWF01043	0.85	0.6	0.6	0.805	structures/output/WWF01043/WWF01043_model.cif
WWF01046	0.81	0.81	0.81	0.887	structures/output/WWF01046/WWF01046_model.cif
WWF01047	0.84	0.84	0.84	0.903	structures/output/WWF01047/WWF01047_model.cif
WWF01048	0.86	0.86	0.86	0.913	structures/output/WWF01048/WWF01048_model.cif
WWF01051	0.83	0.78	0.78	0.9	structures/output/WWF01051/WWF01051_model.cif
WWF01052	0.84	0.82	0.82	0.884	structures/output/WWF01052/WWF01052_model.cif
WWF01060	0.8	0.78	0.78	0.878	structures/output/WWF01060/WWF01060_model.cif
WWF01061	0.81	0.81	0.81	0.91	structures/output/WWF01061/WWF01061_model.cif
WWF01069	0.8	0.8	0.8	0.861	structures/output/WWF01069/WWF01069_model.cif
WWF01071	0.76	0.51	0.51	0.58	structures/output/WWF01071/WWF01071_model.cif
WWF01078	0.78	0.65	0.65	0.724	structures/output/WWF01078/WWF01078_model.cif
WWF01081	0.93	0.9	0.9	0.936	structures/output/WWF01081/WWF01081_model.cif
WWF01087	0.88	0.88	0.88	0.876	structures/output/WWF01087/WWF01087_model.cif
WWF01092	0.74	0.62	0.62	0.677	structures/output/WWF01092/WWF01092_model.cif
WWF01096	0.8	0.63	0.63	0.75	structures/output/WWF01096/WWF01096_model.cif
WWF01103	0.85	0.87	0.87	0.914	structures/output/WWF01103/WWF01103_model.cif
WWF01111	0.85	0.83	0.83	0.876	structures/output/WWF01111/WWF01111_model.cif
WWF01118	0.72	0.76	0.76	0.849	structures/output/WWF01118/WWF01118_model.cif
WWF01126	0.81	0.72	0.72	0.79	structures/output/WWF01126/WWF01126_model.cif
WWF01127	0.78	0.69	0.69	0.808	structures/output/WWF01127/WWF01127_model.cif
WWF01129	0.85	0.72	0.72	0.726	structures/output/WWF01129/WWF01129_model.cif
WWF01135	0.81	0.81	0.81	0.883	structures/output/WWF01135/WWF01135_model.cif
WWF01136	0.79	0.71	0.71	0.774	structures/output/WWF01136/WWF01136_model.cif
WWF01138	0.85	0.84	0.84	0.913	structures/output/WWF01138/WWF01138_model.cif
WWF01141	0.86	0.84	0.84	0.917	structures/output/WWF01141/WWF01141_model.cif
WWF01142	0.78	0.76	0.76	0.858	structures/output/WWF01142/WWF01142_model.cif
WWF01144	0.81	0.8	0.8	0.873	structures/output/WWF01144/WWF01144_model.cif
WWF01145	0.73	0.64	0.64	0.814	structures/output/WWF01145/WWF01145_model.cif
WWF01153	0.81	0.66	0.66	0.688	structures/output/WWF01153/WWF01153_model.cif
WWF01156	0.89	0.88	0.88	0.94	structures/output/WWF01156/WWF01156_model.cif
WWF01165	0.73	0.51	0.51	0.722	structures/output/WWF01165/WWF01165_model.cif
WWF01167	0.8	0.62	0.62	0.817	structures/output/WWF01167/WWF01167_model.cif
WWF01168	0.59	0.38	0.38	0.584	structures/output/WWF01168/WWF01168_model.cif
WWF01171	0.83	0.81	0.81	0.88	structures/output/WWF01171/WWF01171_model.cif
WWF01173	0.86	0.87	0.87	0.916	structures/output/WWF01173/WWF01173_model.cif
WWF01180	0.81	0.77	0.77	0.815	structures/output/WWF01180/WWF01180_model.cif
WWF01181	0.78	0.79	0.79	0.868	structures/output/WWF01181/WWF01181_model.cif
WWF01185	0.78	0.65	0.65	0.854	structures/output/WWF01185/WWF01185_model.cif
WWF01187	0.85	0.71	0.71	0.724	structures/output/WWF01187/WWF01187_model.cif
WWF01193	0.85	0.77	0.77	0.86	structures/output/WWF01193/WWF01193_model.cif
WWF01202	0.7	0.74	0.74	0.828	structures/output/WWF01202/WWF01202_model.cif
WWF01206	0.82	0.79	0.79	0.839	structures/output/WWF01206/WWF01206_model.cif
WWF01209	0.7	0.7	0.7	0.776	structures/output/WWF01209/WWF01209_model.cif
WWF01223	0.85	0.81	0.81	0.859	structures/output/WWF01223/WWF01223_model.cif
WWF01226	0.84	0.86	0.86	0.908	structures/output/WWF01226/WWF01226_model.cif
WWF01227	0.87	0.85	0.85	0.882	structures/output/WWF01227/WWF01227_model.cif
WWF01229	0.89	0.81	0.81	0.811	structures/output/WWF01229/WWF01229_model.cif
WWF01233	0.94	0.92	0.92	0.924	structures/output/WWF01233/WWF01233_model.cif
WWF01234	0.74	0.55	0.55	0.635	structures/output/WWF01234/WWF01234_model.cif
WWF01241	0.85	0.85	0.85	0.921	structures/output/WWF01241/WWF01241_model.cif
WWF01242	0.8	0.52	0.52	0.57	structures/output/WWF01242/WWF01242_model.cif
WWF01246	0.81	0.71	0.71	0.784	structures/output/WWF01246/WWF01246_model.cif
WWF01254	0.85	0.84	0.84	0.892	structures/output/WWF01254/WWF01254_model.cif
WWF01255	0.82	0.81	0.81	0.88	structures/output/WWF01255/WWF01255_model.cif
WWF01257	0.83	0.81	0.81	0.89	structures/output/WWF01257/WWF01257_model.cif
WWF01260	0.9	0.89	0.89	0.943	structures/output/WWF01260/WWF01260_model.cif
WWF01261	0.9	0.87	0.87	0.933	structures/output/WWF01261/WWF01261_model.cif
WWF01266	0.87	0.89	0.89	0.918	structures/output/WWF01266/WWF01266_model.cif
WWF01270	0.77	0.77	0.77	0.854	structures/output/WWF01270/WWF01270_model.cif
WWF01273	0.84	0.85	0.85	0.906	structures/output/WWF01273/WWF01273_model.cif
WWF01275	0.84	0.81	0.81	0.88	structures/output/WWF01275/WWF01275_model.cif
WWF01279	0.78	0.69	0.69	0.703	structures/output/WWF01279/WWF01279_model.cif
WWF01282	0.83	0.81	0.81	0.908	structures/output/WWF01282/WWF01282_model.cif
WWF01283	0.9	0.91	0.91	0.951	structures/output/WWF01283/WWF01283_model.cif
WWF01284	0.86	0.84	0.84	0.899	structures/output/WWF01284/WWF01284_model.cif
WWF01286	0.85	0.82	0.82	0.87	structures/output/WWF01286/WWF01286_model.cif
WWF01288	0.89	0.85	0.85	0.914	structures/output/WWF01288/WWF01288_model.cif
WWF01289	0.89	0.88	0.88	0.922	structures/output/WWF01289/WWF01289_model.cif
WWF01292	0.79	0.81	0.81	0.865	structures/output/WWF01292/WWF01292_model.cif
WWF01303	0.82	0.77	0.77	0.889	structures/output/WWF01303/WWF01303_model.cif
WWF01305	0.87	0.72	0.72	0.827	structures/output/WWF01305/WWF01305_model.cif
WWF01308	0.92	0.91	0.91	0.936	structures/output/WWF01308/WWF01308_model.cif
WWF01309	0.8	0.76	0.76	0.816	structures/output/WWF01309/WWF01309_model.cif
WWF01310	0.85	0.83	0.83	0.867	structures/output/WWF01310/WWF01310_model.cif
WWF01314	0.87	0.73	0.73	0.757	structures/output/WWF01314/WWF01314_model.cif
WWF01327	0.92	0.88	0.88	0.93	structures/output/WWF01327/WWF01327_model.cif
WWF01328	0.8	0.8	0.8	0.847	structures/output/WWF01328/WWF01328_model.cif
WWF01330	0.84	0.76	0.76	0.758	structures/output/WWF01330/WWF01330_model.cif
WWF01331	0.87	0.83	0.83	0.876	structures/output/WWF01331/WWF01331_model.cif
WWF01333	0.87	0.85	0.85	0.909	structures/output/WWF01333/WWF01333_model.cif
WWF01335	0.9	0.69	0.69	0.695	structures/output/WWF01335/WWF01335_model.cif
WWF01337	0.87	0.84	0.84	0.901	structures/output/WWF01337/WWF01337_model.cif
WWF01341	0.75	0.76	0.76	0.825	structures/output/WWF01341/WWF01341_model.cif
WWF01345	0.68	0.63	0.63	0.672	structures/output/WWF01345/WWF01345_model.cif
WWF01349	0.86	0.9	0.9	0.931	structures/output/WWF01349/WWF01349_model.cif
WWF01354	0.83	0.83	0.83	0.891	structures/output/WWF01354/WWF01354_model.cif
WWF01358	0.81	0.81	0.81	0.896	structures/output/WWF01358/WWF01358_model.cif
WWF01361	0.92	0.89	0.89	0.922	structures/output/WWF01361/WWF01361_model.cif
WWF01365	0.82	0.79	0.79	0.873	structures/output/WWF01365/WWF01365_model.cif
WWF01366	0.85	0.85	0.85	0.919	structures/output/WWF01366/WWF01366_model.cif
WWF01368	0.9	0.88	0.88	0.903	structures/output/WWF01368/WWF01368_model.cif
WWF01372	0.83	0.79	0.79	0.807	structures/output/WWF01372/WWF01372_model.cif
WWF01384	0.82	0.82	0.82	0.918	structures/output/WWF01384/WWF01384_model.cif
WWF01386	0.84	0.83	0.83	0.88	structures/output/WWF01386/WWF01386_model.cif
WWF01390	0.86	0.86	0.86	0.929	structures/output/WWF01390/WWF01390_model.cif
WWF01392	0.81	0.72	0.72	0.744	structures/output/WWF01392/WWF01392_model.cif
WWF01395	0.85	0.75	0.75	0.865	structures/output/WWF01395/WWF01395_model.cif
WWF01397	0.73	0.62	0.62	0.681	structures/output/WWF01397/WWF01397_model.cif
WWF01398	0.85	0.84	0.84	0.9	structures/output/WWF01398/WWF01398_model.cif
WWF01399	0.84	0.71	0.71	0.753	structures/output/WWF01399/WWF01399_model.cif
WWF01400	0.88	0.75	0.75	0.807	structures/output/WWF01400/WWF01400_model.cif
WWF01403	0.9	0.9	0.9	0.961	structures/output/WWF01403/WWF01403_model.cif
WWF01406	0.87	0.89	0.89	0.913	structures/output/WWF01406/WWF01406_model.cif
WWF01412	0.92	0.93	0.93	0.944	structures/output/WWF01412/WWF01412_model.cif
